cell_type	gene	n_frail	n_healthy_old_non_frail	log2cpm_difference	p_value	adj_p_value_bh	test
B	ANKIB1	5	6	-1.1093170304125581	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TPT1	5	6	-0.24093645959535337	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SDF4	5	6	-0.2283819381080514	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TMTC3	5	6	-1.1610169448635927	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	EXOC1	5	6	-1.1336975879719358	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ATP2B1	5	6	-0.8248928643866256	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	QTRTD1	5	6	-1.0401625139747877	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	NAA50	5	6	-0.9662740586915595	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KIAA1429	5	6	-0.5766881776951394	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KLF11	5	6	1.533601793670079	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ODC1	5	6	1.9796997862953791	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	C17orf62	5	6	-0.47270430516398143	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CLINT1	5	6	-0.6791780696387812	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RALGAPB	5	6	-0.9594583156353851	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RBM33	5	6	-0.801005667559398	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	POLR2B	5	6	-0.6528755824413617	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ACBD5	5	6	-1.3676013225101813	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZNF395	5	6	0.7457305956027183	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZNF267	5	6	-1.0960764217670977	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZEB1	5	6	-1.3243576889152902	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MAP3K8	5	6	1.194309345161308	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DNAJA2	5	6	-0.8116897253176845	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ADARB1	5	6	1.632774142409097	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MIB2	5	6	0.5814788657124175	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SSU72	5	6	1.3862185238654883	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	PAPOLG	5	6	-1.1955935411824044	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KPNB1	5	6	-0.6768150872991567	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	USP45	5	6	-1.0002711882392812	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	AP001058.3	5	6	1.3287773923301698	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RP11-156K23.3	5	6	1.245515411627229	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	OPA1	5	6	-0.8054143652958041	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BET1	5	6	-0.7638978611019756	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	HERPUD1	5	6	0.9979716302754493	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RP11-418J17.1	5	6	-0.7404038369605015	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MOB4	5	6	0.6130999911986486	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SUPT5H	5	6	-0.6596901111077242	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	DYRK1B	5	6	-1.2409054491136282	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	BCL7C	5	6	1.0483470322795245	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CHI3L2	5	6	1.5086167351586477	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TMX4	5	6	-0.7420257482789605	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	AKNA	5	6	-1.00122775556685	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	B4GALT7	5	6	-0.6843065775190427	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	PARP4	5	6	-1.114859741337435	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RNF219	5	6	-1.5584052433857343	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CAMK1D	5	6	0.9858826126048807	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CCNC	5	6	-0.6632505395658486	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	S1PAdvancedScience2026	5	6	-0.6777667985539741	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	AMBRA1	5	6	-1.1478075912340322	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TTI2	5	6	-1.4630167190676806	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MAP2K2	5	6	2.405970649224098	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	LRRC37A2	5	6	-2.0231186877978815	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	JADE2	5	6	-1.1969580014182855	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ICE1	5	6	-1.1063394852982986	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CASP8	5	6	-0.9966254359404099	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ARID5B	5	6	-0.4868077122425438	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CD2BP2	5	6	-0.6166024477116503	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CTC-490E21.14	5	6	-0.9066861825404258	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	RBM15	5	6	-1.1845596167547652	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	KIF22	5	6	-0.7222740627133497	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	FASTKD2	5	6	-0.4318491673173641	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	USP12	5	6	1.6972222453962846	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	AFTPH	5	6	-0.776341849036581	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	COMMD1	5	6	-0.2265303441777755	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	NLRC5	5	6	-1.105729274232476	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	SPOCK2	5	6	-0.813085562109289	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	CHCHD1	5	6	-0.6600892491017234	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	USP54	5	6	-0.9054627106724544	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	HSPA4	5	6	-0.5668781772490474	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	ZNF703	5	6	2.3624199936386856	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	TSPYL1	5	6	-0.4856685347173135	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
B	MSH6	5	6	-0.8070876801134945	0.004329004329004329	0.09497320860957224	Mann-Whitney U donor pseudobulk logCPM
