cell_type	gene	n_frail_F	n_healthy_old_non_frail_F	mean_log2cpm_frail_F	mean_log2cpm_healthy_old_non_frail_F	log2cpm_difference_frail_minus_control_F_only	cliffs_delta	p_value	test	adj_p_value_bh
Monocyte_CD14	SYCE1	5	3	0.018028344242261247	0.47442976702997647	-0.4564014227877152	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	SYTL4	5	3	0.051021395539533346	0.8321355839239359	-0.7811141883844026	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	TLDC2	5	3	0.03499618784925278	0.7980276052769432	-0.7630314174276904	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	TMEM262	5	3	0.03499618784925278	0.41625224184809984	-0.38125605399884704	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	TMIGD3	5	3	0.10747376912752915	0.9167905869185855	-0.8093168177910564	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZEB1-AS1	5	3	0.018028344242261247	0.2850178646895839	-0.26698952044732266	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZFP92	5	3	0.08886870196654478	0.6594083547356597	-0.5705396527691149	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF433	5	3	0.03499618784925278	0.5739682218801159	-0.5389720340308631	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF613	5	3	0.03499618784925278	0.7935745183511211	-0.7585783305018684	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF772	5	3	0.018028344242261247	0.5349449608591762	-0.5169166166169149	-1.0	0.02617919706364721	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC009950.2	5	3	0.13989009750607811	0.7278648652290025	-0.5879747677229243	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC012507.4	5	3	0.16868122775406316	0.8227361203435412	-0.654054892589478	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ADARB2	5	3	0.12416568967386717	0.5325221245895927	-0.40835643491572554	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AQP10	5	3	0.3423162282651072	1.3541570032100543	-1.0118407749449472	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ARNT2	5	3	1.0006048548401387	0.0	1.0006048548401387	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	BHLHE22	5	3	1.1568587585186259	0.0	1.1568587585186259	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	CCNA1	5	3	0.6574988544720852	0.0	0.6574988544720852	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	CEP295NL	5	3	0.13989009750607811	1.63485252966257	-1.4949624321564918	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	CTA-286B10.7	5	3	1.000795530682749	0.0	1.000795530682749	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	CTD-2047H16.4	5	3	0.0929586646873434	0.6024944681171995	-0.5095358034298562	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	EARS2	5	3	0.35566841066968574	1.7186374969885403	-1.3629690863188546	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	HLA-DQB1-AS1	5	3	0.22815363159186744	1.959111247699915	-1.7309576161080475	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	IGKV1-22	5	3	0.889455677380591	0.0	0.889455677380591	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	LDLRAD2	5	3	0.6006830826808496	0.0	0.6006830826808496	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	MAFA	5	3	1.41046631481438	0.0	1.41046631481438	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	MYH3	5	3	0.0929586646873434	0.7516646676466768	-0.6587060029593335	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	PLLP	5	3	0.15507191480232133	0.9015649544150386	-0.7464930396127173	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RASD2	5	3	0.9294504192482919	0.0	0.9294504192482919	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-10C24.1	5	3	0.5473104897239017	0.0	0.5473104897239017	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-269F19.2	5	3	0.10898387237762397	0.4699964523952671	-0.36101258001764314	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-2C24.9	5	3	0.12386488981579755	0.8635090364434692	-0.7396441466276716	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-381K20.2	5	3	0.19634247109407393	1.1781480005826939	-0.9818055294886199	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-401P9.5	5	3	0.10898387237762397	0.7077454519098549	-0.598761579532231	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-526I2.5	5	3	0.13858846922304985	0.7780689035879252	-0.6394804343648754	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	RP11-613D13.8	5	3	0.6959569253714675	0.0	0.6959569253714675	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ST3GAL6-AS1	5	3	0.9461603789293799	0.0	0.9461603789293799	1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	SYNC	5	3	0.12416568967386717	0.7357374645409461	-0.6115717748670789	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	TDRD6	5	3	0.0929586646873434	0.5818643417708182	-0.4889056770834749	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	TMEM81	5	3	0.07599082108035186	0.41625224184809984	-0.34026142076774796	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZKSCAN3	5	3	0.12386488981579755	0.7278648652290025	-0.6039999754132049	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF175	5	3	0.12423477035848676	0.9632052848529082	-0.8389705144944215	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF449	5	3	0.12416568967386717	1.2338485914514823	-1.109682901777615	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ZNF528	5	3	0.22815363159186744	1.3473586758736538	-1.1192050442817862	-1.0	0.03247332032606962	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	A1BG-AS1	5	3	1.3190745131048196	2.0916485928204476	-0.772574079715628	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AAED1	5	3	5.79667271769584	4.0465468877844595	1.7501258299113802	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AAR2	5	3	3.339984162827123	3.869088550344852	-0.5291043875177288	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABCD3	5	3	3.29960915938844	3.717089916044469	-0.4174807566560288	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABCF3	5	3	3.0283817889675277	4.165919452247845	-1.1375376632803174	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABHD10	5	3	1.5975860108360316	2.974158210625685	-1.3765721997896534	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABHD13	5	3	3.8994699868781906	4.608718701947782	-0.7092487150695916	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABHD17C	5	3	2.0028861746118585	0.5799738800073319	1.4229122946045267	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	ABL2	5	3	4.861816826260226	3.530978797291027	1.3308380289691986	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC002456.2	5	3	3.1691565088528355	0.7516267042089222	2.4175298046439133	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC005944.2	5	3	0.9455593943385381	1.8402950921884706	-0.8947356978499326	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC006994.2	5	3	1.421997560269651	0.743598988381903	0.6783985718877481	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC007365.3	5	3	2.214608019693484	1.0785770534758843	1.1360309662175996	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC007950.2	5	3	2.484886887080586	1.7088078290850783	0.7760790579955075	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC011747.3	5	3	1.4805751636414581	0.8730672569606179	0.6075079066808402	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC017002.1	5	3	1.8664046135100676	0.7929472472606253	1.0734573662494422	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC017002.2	5	3	1.941427730501033	0.22290290882332608	1.718524821677707	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC022182.1	5	3	2.905461859698242	0.959820321402864	1.9456415382953782	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC062029.1	5	3	2.1764251413360265	1.137764323460142	1.0386608178758845	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC073046.25	5	3	0.40806422545592635	1.8017997582899568	-1.3937355328340304	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC073934.6	5	3	1.6570449957357571	1.0424724225850446	0.6145725731507126	1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC074289.1	5	3	3.267798766647907	4.400737336526364	-1.1329385698784566	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
Monocyte_CD14	AC091814.2	5	3	1.3598582208742254	2.6097988175601015	-1.249940596685876	-1.0	0.03571428571428571	Mann-Whitney U donor pseudobulk log2CPM, F-series-only	0.20095066454022179
