donor_id	group	clonotype_id	count	frequency
F006	frail	clonotype29	12	0.0032967032967032967
F006	frail	clonotype24	12	0.0032967032967032967
F006	frail	clonotype12	11	0.003021978021978022
F006	frail	clonotype25	10	0.0027472527472527475
F006	frail	clonotype26	10	0.0027472527472527475
F006	frail	clonotype45	9	0.0024725274725274724
F006	frail	clonotype31	8	0.002197802197802198
F006	frail	clonotype30	8	0.002197802197802198
F006	frail	clonotype32	8	0.002197802197802198
F006	frail	clonotype28	8	0.002197802197802198
F006	frail	clonotype35	8	0.002197802197802198
F006	frail	clonotype16	7	0.0019230769230769232
F006	frail	clonotype56	6	0.0016483516483516484
F006	frail	clonotype58	6	0.0016483516483516484
F006	frail	clonotype38	6	0.0016483516483516484
F006	frail	clonotype114	6	0.0016483516483516484
F006	frail	clonotype57	6	0.0016483516483516484
F006	frail	clonotype21	6	0.0016483516483516484
F006	frail	clonotype47	6	0.0016483516483516484
F006	frail	clonotype44	6	0.0016483516483516484
F006	frail	clonotype66	6	0.0016483516483516484
F006	frail	clonotype43	6	0.0016483516483516484
F006	frail	clonotype42	6	0.0016483516483516484
F006	frail	clonotype51	6	0.0016483516483516484
F006	frail	clonotype97	6	0.0016483516483516484
F006	frail	clonotype23	6	0.0016483516483516484
F006	frail	clonotype41	6	0.0016483516483516484
F006	frail	clonotype22	6	0.0016483516483516484
F006	frail	clonotype40	6	0.0016483516483516484
F006	frail	clonotype52	6	0.0016483516483516484
F006	frail	clonotype55	6	0.0016483516483516484
F007	frail	clonotype2	182	0.031068624103789688
F007	frail	clonotype3	176	0.030044383748719698
F007	frail	clonotype4	172	0.029361556845339705
F007	frail	clonotype6	122	0.020826220553089792
F007	frail	clonotype1	100	0.01707067258449983
F007	frail	clonotype8	78	0.013315124615909868
F007	frail	clonotype5	76	0.012973711164219871
F007	frail	clonotype7	53	0.00904745646978491
F007	frail	clonotype10	52	0.008876749743939911
F007	frail	clonotype12	48	0.008193922840559918
F007	frail	clonotype9	37	0.006316148856264937
F007	frail	clonotype11	20	0.003414134516899966
F007	frail	clonotype20	12	0.0020484807101399795
F007	frail	clonotype19	12	0.0020484807101399795
F007	frail	clonotype15	12	0.0020484807101399795
F007	frail	clonotype16	12	0.0020484807101399795
F007	frail	clonotype18	12	0.0020484807101399795
F007	frail	clonotype17	12	0.0020484807101399795
F007	frail	clonotype25	12	0.0020484807101399795
F007	frail	clonotype21	10	0.001707067258449983
F007	frail	clonotype22	10	0.001707067258449983
F007	frail	clonotype23	10	0.001707067258449983
F007	frail	clonotype13	9	0.0015363605326049847
F007	frail	clonotype24	8	0.0013656538067599864
F007	frail	clonotype27	8	0.0013656538067599864
F007	frail	clonotype31	8	0.0013656538067599864
F007	frail	clonotype29	8	0.0013656538067599864
F007	frail	clonotype14	7	0.001194947080914988
F007	frail	clonotype45	6	0.0010242403550699897
F007	frail	clonotype137	6	0.0010242403550699897
F007	frail	clonotype41	6	0.0010242403550699897
F007	frail	clonotype34	6	0.0010242403550699897
F007	frail	clonotype40	6	0.0010242403550699897
F007	frail	clonotype35	6	0.0010242403550699897
F007	frail	clonotype44	6	0.0010242403550699897
F007	frail	clonotype130	6	0.0010242403550699897
F007	frail	clonotype33	6	0.0010242403550699897
F007	frail	clonotype38	6	0.0010242403550699897
F007	frail	clonotype43	6	0.0010242403550699897
F007	frail	clonotype132	4	0.0006828269033799932
F007	frail	clonotype148	4	0.0006828269033799932
F007	frail	clonotype1476	4	0.0006828269033799932
F007	frail	clonotype135	4	0.0006828269033799932
F007	frail	clonotype136	4	0.0006828269033799932
F007	frail	clonotype127	4	0.0006828269033799932
F007	frail	clonotype133	4	0.0006828269033799932
F007	frail	clonotype1583	4	0.0006828269033799932
F007	frail	clonotype147	4	0.0006828269033799932
F007	frail	clonotype47	4	0.0006828269033799932
F007	frail	clonotype46	4	0.0006828269033799932
F008	frail	clonotype1	58	0.032879818594104306
F008	frail	clonotype2	50	0.02834467120181406
F008	frail	clonotype5	32	0.018140589569160998
F008	frail	clonotype4	32	0.018140589569160998
F008	frail	clonotype6	30	0.017006802721088437
F008	frail	clonotype7	26	0.01473922902494331
F008	frail	clonotype3	20	0.011337868480725623
F008	frail	clonotype21	15	0.008503401360544218
F008	frail	clonotype12	14	0.007936507936507936
F008	frail	clonotype11	14	0.007936507936507936
F008	frail	clonotype13	14	0.007936507936507936
F008	frail	clonotype14	14	0.007936507936507936
F008	frail	clonotype8	13	0.007369614512471655
F008	frail	clonotype15	12	0.006802721088435374
F008	frail	clonotype9	11	0.006235827664399093
F008	frail	clonotype17	10	0.005668934240362812
F008	frail	clonotype20	10	0.005668934240362812
F008	frail	clonotype19	10	0.005668934240362812
F008	frail	clonotype10	9	0.00510204081632653
F008	frail	clonotype23	8	0.0045351473922902496
F008	frail	clonotype28	6	0.003401360544217687
F008	frail	clonotype32	6	0.003401360544217687
F008	frail	clonotype26	6	0.003401360544217687
F008	frail	clonotype30	6	0.003401360544217687
F008	frail	clonotype33	6	0.003401360544217687
F008	frail	clonotype34	6	0.003401360544217687
F008	frail	clonotype18	5	0.002834467120181406
F008	frail	clonotype16	5	0.002834467120181406
F008	frail	clonotype37	4	0.0022675736961451248
F008	frail	clonotype76	4	0.0022675736961451248
F008	frail	clonotype64	4	0.0022675736961451248
F008	frail	clonotype61	4	0.0022675736961451248
F008	frail	clonotype63	4	0.0022675736961451248
F008	frail	clonotype306	4	0.0022675736961451248
F008	frail	clonotype69	4	0.0022675736961451248
F008	frail	clonotype340	4	0.0022675736961451248
F008	frail	clonotype39	4	0.0022675736961451248
F008	frail	clonotype38	4	0.0022675736961451248
F008	frail	clonotype78	4	0.0022675736961451248
F008	frail	clonotype70	4	0.0022675736961451248
F008	frail	clonotype72	4	0.0022675736961451248
F008	frail	clonotype77	4	0.0022675736961451248
F008	frail	clonotype41	4	0.0022675736961451248
F008	frail	clonotype59	4	0.0022675736961451248
F008	frail	clonotype60	4	0.0022675736961451248
F008	frail	clonotype58	4	0.0022675736961451248
F008	frail	clonotype198	4	0.0022675736961451248
F008	frail	clonotype51	4	0.0022675736961451248
F008	frail	clonotype57	4	0.0022675736961451248
F008	frail	clonotype54	4	0.0022675736961451248
F012	young_adult	clonotype1	96	0.01457858769931663
F012	young_adult	clonotype2	41	0.006226271829916477
F012	young_adult	clonotype4	36	0.005466970387243736
F012	young_adult	clonotype6	26	0.003948367501898253
F012	young_adult	clonotype7	24	0.0036446469248291574
F012	young_adult	clonotype10	20	0.0030372057706909645
F012	young_adult	clonotype9	20	0.0030372057706909645
F012	young_adult	clonotype3	19	0.002885345482156416
F012	young_adult	clonotype5	17	0.0025816249050873196
F012	young_adult	clonotype12	16	0.0024297646165527716
F012	young_adult	clonotype11	16	0.0024297646165527716
F012	young_adult	clonotype15	14	0.002126044039483675
F012	young_adult	clonotype14	14	0.002126044039483675
F012	young_adult	clonotype17	12	0.0018223234624145787
F012	young_adult	clonotype18	12	0.0018223234624145787
F012	young_adult	clonotype16	12	0.0018223234624145787
F012	young_adult	clonotype8	11	0.0016704631738800305
F012	young_adult	clonotype21	10	0.0015186028853454822
F012	young_adult	clonotype23	10	0.0015186028853454822
F012	young_adult	clonotype22	10	0.0015186028853454822
F012	young_adult	clonotype26	8	0.0012148823082763858
F012	young_adult	clonotype27	8	0.0012148823082763858
F012	young_adult	clonotype29	8	0.0012148823082763858
F012	young_adult	clonotype13	7	0.0010630220197418376
F012	young_adult	clonotype19	6	0.0009111617312072893
F012	young_adult	clonotype31	6	0.0009111617312072893
F012	young_adult	clonotype40	6	0.0009111617312072893
F012	young_adult	clonotype34	6	0.0009111617312072893
F012	young_adult	clonotype42	6	0.0009111617312072893
F012	young_adult	clonotype35	6	0.0009111617312072893
F012	young_adult	clonotype33	6	0.0009111617312072893
F012	young_adult	clonotype39	6	0.0009111617312072893
F012	young_adult	clonotype44	6	0.0009111617312072893
F012	young_adult	clonotype41	6	0.0009111617312072893
F012	young_adult	clonotype47	6	0.0009111617312072893
F012	young_adult	clonotype94	6	0.0009111617312072893
F012	young_adult	clonotype50	6	0.0009111617312072893
F012	young_adult	clonotype51	6	0.0009111617312072893
F012	young_adult	clonotype52	6	0.0009111617312072893
F012	young_adult	clonotype20	6	0.0009111617312072893
F012	young_adult	clonotype25	5	0.0007593014426727411
F012	young_adult	clonotype24	5	0.0007593014426727411
F012	young_adult	clonotype824	4	0.0006074411541381929
F012	young_adult	clonotype54	4	0.0006074411541381929
F012	young_adult	clonotype488	4	0.0006074411541381929
F012	young_adult	clonotype1041	4	0.0006074411541381929
F012	young_adult	clonotype75	4	0.0006074411541381929
F012	young_adult	clonotype3142	4	0.0006074411541381929
F012	young_adult	clonotype65	4	0.0006074411541381929
F012	young_adult	clonotype73	4	0.0006074411541381929
F013	young_adult	clonotype1	178	0.02542857142857143
F013	young_adult	clonotype2	77	0.011
F013	young_adult	clonotype3	32	0.004571428571428572
F013	young_adult	clonotype6	24	0.0034285714285714284
F013	young_adult	clonotype4	15	0.002142857142857143
F013	young_adult	clonotype8	14	0.002
F013	young_adult	clonotype5	14	0.002
F013	young_adult	clonotype13	10	0.0014285714285714286
F013	young_adult	clonotype7	9	0.0012857142857142856
F013	young_adult	clonotype20	8	0.001142857142857143
F013	young_adult	clonotype17	8	0.001142857142857143
F013	young_adult	clonotype21	8	0.001142857142857143
F013	young_adult	clonotype18	8	0.001142857142857143
F013	young_adult	clonotype16	8	0.001142857142857143
F013	young_adult	clonotype10	6	0.0008571428571428571
F013	young_adult	clonotype25	6	0.0008571428571428571
F013	young_adult	clonotype37	6	0.0008571428571428571
F013	young_adult	clonotype44	6	0.0008571428571428571
F013	young_adult	clonotype11	6	0.0008571428571428571
F013	young_adult	clonotype41	6	0.0008571428571428571
F013	young_adult	clonotype9	6	0.0008571428571428571
F013	young_adult	clonotype28	6	0.0008571428571428571
F013	young_adult	clonotype31	6	0.0008571428571428571
F013	young_adult	clonotype39	6	0.0008571428571428571
F013	young_adult	clonotype45	6	0.0008571428571428571
F013	young_adult	clonotype73	6	0.0008571428571428571
F013	young_adult	clonotype49	6	0.0008571428571428571
F013	young_adult	clonotype52	6	0.0008571428571428571
F013	young_adult	clonotype54	6	0.0008571428571428571
F013	young_adult	clonotype12	5	0.0007142857142857143
F013	young_adult	clonotype94	4	0.0005714285714285715
F013	young_adult	clonotype14	4	0.0005714285714285715
F013	young_adult	clonotype119	4	0.0005714285714285715
F013	young_adult	clonotype3103	4	0.0005714285714285715
F013	young_adult	clonotype104	4	0.0005714285714285715
F013	young_adult	clonotype108	4	0.0005714285714285715
F013	young_adult	clonotype93	4	0.0005714285714285715
F013	young_adult	clonotype77	4	0.0005714285714285715
F013	young_adult	clonotype3638	4	0.0005714285714285715
F013	young_adult	clonotype100	4	0.0005714285714285715
F013	young_adult	clonotype99	4	0.0005714285714285715
F013	young_adult	clonotype78	4	0.0005714285714285715
F013	young_adult	clonotype352	4	0.0005714285714285715
F013	young_adult	clonotype641	4	0.0005714285714285715
F013	young_adult	clonotype1722	4	0.0005714285714285715
F013	young_adult	clonotype118	4	0.0005714285714285715
F013	young_adult	clonotype1284	4	0.0005714285714285715
F013	young_adult	clonotype111	4	0.0005714285714285715
F013	young_adult	clonotype62	4	0.0005714285714285715
F013	young_adult	clonotype103	4	0.0005714285714285715
F014	young_adult	clonotype1	48	0.005946481665014866
F014	young_adult	clonotype2	19	0.0023538156590683845
F014	young_adult	clonotype4	16	0.0019821605550049554
F014	young_adult	clonotype15	12	0.0014866204162537165
F014	young_adult	clonotype6	12	0.0014866204162537165
F014	young_adult	clonotype7	12	0.0014866204162537165
F014	young_adult	clonotype9	10	0.001238850346878097
F014	young_adult	clonotype3	10	0.001238850346878097
F014	young_adult	clonotype18	8	0.0009910802775024777
F014	young_adult	clonotype17	8	0.0009910802775024777
F014	young_adult	clonotype14	8	0.0009910802775024777
F014	young_adult	clonotype13	8	0.0009910802775024777
F014	young_adult	clonotype5	7	0.000867195242814668
F014	young_adult	clonotype26	6	0.0007433102081268583
F014	young_adult	clonotype61	6	0.0007433102081268583
F014	young_adult	clonotype53	6	0.0007433102081268583
F014	young_adult	clonotype24	6	0.0007433102081268583
F014	young_adult	clonotype27	6	0.0007433102081268583
F014	young_adult	clonotype23	6	0.0007433102081268583
F014	young_adult	clonotype22	6	0.0007433102081268583
F014	young_adult	clonotype20	6	0.0007433102081268583
F014	young_adult	clonotype21	6	0.0007433102081268583
F014	young_adult	clonotype25	6	0.0007433102081268583
F014	young_adult	clonotype11	5	0.0006194251734390486
F014	young_adult	clonotype10	5	0.0006194251734390486
F014	young_adult	clonotype8	5	0.0006194251734390486
F014	young_adult	clonotype2130	4	0.0004955401387512388
F014	young_adult	clonotype1907	4	0.0004955401387512388
F014	young_adult	clonotype65	4	0.0004955401387512388
F014	young_adult	clonotype2022	4	0.0004955401387512388
F014	young_adult	clonotype1834	4	0.0004955401387512388
F014	young_adult	clonotype3229	4	0.0004955401387512388
F014	young_adult	clonotype71	4	0.0004955401387512388
F014	young_adult	clonotype73	4	0.0004955401387512388
F014	young_adult	clonotype3065	4	0.0004955401387512388
F014	young_adult	clonotype3092	4	0.0004955401387512388
F014	young_adult	clonotype74	4	0.0004955401387512388
F014	young_adult	clonotype2753	4	0.0004955401387512388
F014	young_adult	clonotype2986	4	0.0004955401387512388
F014	young_adult	clonotype75	4	0.0004955401387512388
F014	young_adult	clonotype2790	4	0.0004955401387512388
F014	young_adult	clonotype76	4	0.0004955401387512388
F014	young_adult	clonotype77	4	0.0004955401387512388
F014	young_adult	clonotype69	4	0.0004955401387512388
F014	young_adult	clonotype68	4	0.0004955401387512388
F014	young_adult	clonotype80	4	0.0004955401387512388
F014	young_adult	clonotype2373	4	0.0004955401387512388
F014	young_adult	clonotype60	4	0.0004955401387512388
F014	young_adult	clonotype1657	4	0.0004955401387512388
F014	young_adult	clonotype3695	4	0.0004955401387512388
F016	cord_blood	clonotype2885	4	0.0007992007992007992
F016	cord_blood	clonotype1838	4	0.0007992007992007992
F016	cord_blood	clonotype1498	4	0.0007992007992007992
F016	cord_blood	clonotype1491	4	0.0007992007992007992
F016	cord_blood	clonotype1622	4	0.0007992007992007992
F016	cord_blood	clonotype1409	4	0.0007992007992007992
F016	cord_blood	clonotype1361	4	0.0007992007992007992
F016	cord_blood	clonotype2201	4	0.0007992007992007992
F016	cord_blood	clonotype1304	4	0.0007992007992007992
F016	cord_blood	clonotype935	4	0.0007992007992007992
F016	cord_blood	clonotype318	4	0.0007992007992007992
F016	cord_blood	clonotype2757	4	0.0007992007992007992
F016	cord_blood	clonotype2764	4	0.0007992007992007992
F016	cord_blood	clonotype705	4	0.0007992007992007992
F016	cord_blood	clonotype2561	4	0.0007992007992007992
F016	cord_blood	clonotype557	4	0.0007992007992007992
F016	cord_blood	clonotype801	4	0.0007992007992007992
F016	cord_blood	clonotype2305	4	0.0007992007992007992
F016	cord_blood	clonotype827	4	0.0007992007992007992
F016	cord_blood	clonotype1	4	0.0007992007992007992
F016	cord_blood	clonotype1823	3	0.0005994005994005994
F016	cord_blood	clonotype1671	3	0.0005994005994005994
F016	cord_blood	clonotype1691	3	0.0005994005994005994
F016	cord_blood	clonotype1978	3	0.0005994005994005994
F016	cord_blood	clonotype41	3	0.0005994005994005994
F016	cord_blood	clonotype1683	3	0.0005994005994005994
F016	cord_blood	clonotype1960	3	0.0005994005994005994
F016	cord_blood	clonotype1963	3	0.0005994005994005994
F016	cord_blood	clonotype1998	3	0.0005994005994005994
F016	cord_blood	clonotype1600	3	0.0005994005994005994
